id,text,label,prompt,model,date
22,Human-written text sample 22: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-06-12
23,AI-generated content sample 23: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-05-28
24,AI-generated content sample 24: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-07-04
25,Human-written text sample 25: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-02-02
26,Human-written text sample 26: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-05-31
27,Human-written text sample 27: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-10-12
28,Human-written text sample 28: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-27
29,Human-written text sample 29: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-11-06
30,AI-generated content sample 30: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2023-12-20
31,AI-generated content sample 31: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-10-20
32,AI-generated content sample 32: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-09-01
33,Human-written text sample 33: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-10
34,Human-written text sample 34: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-08-22
35,AI-generated content sample 35: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2023-09-12
36,AI-generated content sample 36: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-04-13
37,Human-written text sample 37: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-09-22
38,Human-written text sample 38: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-11
39,Human-written text sample 39: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-09
40,Human-written text sample 40: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-11-17
41,Human-written text sample 41: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-08-22
42,Human-written text sample 42: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-02-13
43,Human-written text sample 43: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-10-24
44,Human-written text sample 44: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-07-07
45,Human-written text sample 45: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-05-10
46,AI-generated content sample 46: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-02-26
47,Human-written text sample 47: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-03
48,AI-generated content sample 48: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-05-02
49,Human-written text sample 49: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-12-19
50,AI-generated content sample 50: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-08-04
51,Human-written text sample 51: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-08-30
52,AI-generated content sample 52: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-12-13
53,Human-written text sample 53: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-11-26
54,Human-written text sample 54: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-03-01
55,Human-written text sample 55: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-11-10
56,Human-written text sample 56: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-02-21
57,AI-generated content sample 57: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-05-07
58,Human-written text sample 58: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-06-29
59,AI-generated content sample 59: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2023-10-14
60,Human-written text sample 60: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-08
61,Human-written text sample 61: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-07-05
62,Human-written text sample 62: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-26
63,AI-generated content sample 63: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2023-12-13
64,AI-generated content sample 64: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-03-26
65,AI-generated content sample 65: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-11-16
66,AI-generated content sample 66: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-10-22
67,Human-written text sample 67: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-20
68,Human-written text sample 68: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-09-04
69,Human-written text sample 69: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-09-30
70,AI-generated content sample 70: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-04-14
71,AI-generated content sample 71: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2025-03-14
72,Human-written text sample 72: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-11-08
73,Human-written text sample 73: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-05-27
74,Human-written text sample 74: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-13
75,Human-written text sample 75: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-02
76,Human-written text sample 76: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-12
77,AI-generated content sample 77: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2023-08-21
78,AI-generated content sample 78: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-04-06
79,Human-written text sample 79: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-05-28
80,AI-generated content sample 80: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2023-09-23
81,Human-written text sample 81: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-30
82,AI-generated content sample 82: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-04-23
83,Human-written text sample 83: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-01-19
84,AI-generated content sample 84: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2023-12-10
85,Human-written text sample 85: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-12-14
86,AI-generated content sample 86: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2025-01-21
87,AI-generated content sample 87: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-04-01
88,Human-written text sample 88: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-11-15
89,Human-written text sample 89: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-07
90,AI-generated content sample 90: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-06-02
91,Human-written text sample 91: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-04-05
92,AI-generated content sample 92: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-03-19
93,AI-generated content sample 93: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-03-07
94,AI-generated content sample 94: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2025-02-08
95,Human-written text sample 95: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-09-23
96,Human-written text sample 96: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-23
97,Human-written text sample 97: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-07-12
98,Human-written text sample 98: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-21
99,Human-written text sample 99: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-16
100,AI-generated content sample 100: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-01-01
101,Human-written text sample 101: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-05-19
102,Human-written text sample 102: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-10
103,AI-generated content sample 103: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-03-14
104,AI-generated content sample 104: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-04-08
105,Human-written text sample 105: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-02-12
106,AI-generated content sample 106: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-03-08
107,AI-generated content sample 107: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2025-06-23
108,Human-written text sample 108: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-13
109,Human-written text sample 109: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-01-07
110,Human-written text sample 110: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-16
111,Human-written text sample 111: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-11-08
112,AI-generated content sample 112: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2023-12-31
113,AI-generated content sample 113: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-12-13
114,Human-written text sample 114: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-02-14
115,Human-written text sample 115: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-02-27
116,Human-written text sample 116: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-11
117,Human-written text sample 117: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-03-08
118,AI-generated content sample 118: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2025-03-18
119,Human-written text sample 119: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-09-08
120,AI-generated content sample 120: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-03-26
121,AI-generated content sample 121: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-01-23
122,Human-written text sample 122: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-28
123,Human-written text sample 123: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-29
124,AI-generated content sample 124: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2024-01-14
125,Human-written text sample 125: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-04-27
126,AI-generated content sample 126: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2023-08-24
127,AI-generated content sample 127: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-09-02
128,AI-generated content sample 128: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-03-04
129,AI-generated content sample 129: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-11-28
130,AI-generated content sample 130: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-07-25
131,AI-generated content sample 131: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-06-03
132,Human-written text sample 132: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-07
133,Human-written text sample 133: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-06-08
134,AI-generated content sample 134: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2023-10-26
135,Human-written text sample 135: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-07
136,AI-generated content sample 136: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-04-19
137,Human-written text sample 137: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-06
138,Human-written text sample 138: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-06-29
139,Human-written text sample 139: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-03-23
140,AI-generated content sample 140: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-10-06
141,Human-written text sample 141: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-07-22
142,Human-written text sample 142: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-12-13
143,Human-written text sample 143: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-06-22
144,Human-written text sample 144: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-06-04
145,Human-written text sample 145: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-09-06
146,AI-generated content sample 146: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-05-06
147,AI-generated content sample 147: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-02-25
148,AI-generated content sample 148: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-11-10
149,Human-written text sample 149: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-10-11
150,AI-generated content sample 150: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-01-08
151,AI-generated content sample 151: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2023-08-14
152,AI-generated content sample 152: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-11-17
153,AI-generated content sample 153: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-07-22
154,Human-written text sample 154: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-25
155,Human-written text sample 155: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-10-15
156,Human-written text sample 156: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-10-25
157,AI-generated content sample 157: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-09-28
158,Human-written text sample 158: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-11-02
159,Human-written text sample 159: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-03
160,AI-generated content sample 160: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-04-15
161,Human-written text sample 161: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-04-05
162,AI-generated content sample 162: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-03-11
163,Human-written text sample 163: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-01-31
164,Human-written text sample 164: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-03-05
165,AI-generated content sample 165: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-08-13
166,Human-written text sample 166: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-20
167,Human-written text sample 167: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-16
168,Human-written text sample 168: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-11-16
169,Human-written text sample 169: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-12
170,AI-generated content sample 170: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-06-07
171,AI-generated content sample 171: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-02-06
172,Human-written text sample 172: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-14
173,Human-written text sample 173: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-09-29
174,AI-generated content sample 174: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-10-10
175,Human-written text sample 175: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-09-02
176,Human-written text sample 176: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-08-31
177,AI-generated content sample 177: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2025-02-20
178,AI-generated content sample 178: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2025-04-05
179,Human-written text sample 179: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-04-05
180,AI-generated content sample 180: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-01-31
181,AI-generated content sample 181: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2025-07-06
182,AI-generated content sample 182: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2025-01-29
